,original_index,ratings,reviewer,titles,reviews,english,dates,replies,reply_dates,clean_review,combined_reviews,reviews_len,Buying experience,Digital,store,service,product not available,Product,fresh,non fresh,"value (quality, etc.)",price,Delivery Mode,Drive,Delivery,After Sales,Carrefour,Other brand,reimbursement,clean_BE,clean_PD,clean_DM,clean_AS
0,1945.0,1.0,All,Aucun SAV à éviter,"Nous avons commandé et reçu une tablette,  à un prix très avantageux, jusque là, après avoir lu les autres avis, nous avons été chanceux. Après quelques utilisations, elle refuse de s'allumer. Nous avons encore eu la chance de réussir à contacter le SAV à l'étranger, bien entendu. Mais le courriel qui devait nous permettre de renvoyer la tablette ne nous est jamais parvenu. Depuis impossible de joindre le SAV, comme les autres, nous  patientons 5 minutes puis on nous annonce que personne ne peut nous répondre. Les courriels ne sont pas plus efficaces : réponse automatique sans suite...","We ordered and received a tablet, at a very good price, so far, after reading the other reviews, we have been lucky. After a few uses, it refuses to turn on. We were still lucky enough to successfully contact the after-sales service abroad, of course. But the email that was supposed to allow us to return the tablet never reached us. Since impossible to reach the after-sales service, like the others, we wait 5 minutes and then we are told that no one can answer us. Emails are not more effective: automatic response without follow-up...",2014-11-01T11:09:09.000Z,,,"Nous avons commandé et reçu une tablette,  à un prix très avantageux, jusque là, après avoir lu les autres avis, nous avons été chanceux. Après quelques utilisations, elle refuse de s'allumer. Nous avons encore eu la chance de réussir à contacter le SAV à l'étranger, bien entendu. Mais le courriel qui devait nous permettre de renvoyer la tablette ne nous est jamais parvenu. Depuis impossible de joindre le SAV, comme les autres, nous  patientons 5 minutes puis on nous annonce que personne ne peut nous répondre. Les courriels ne sont pas plus efficaces : réponse automatique sans suite...","Aucun SAV à éviter Nous avons commandé et reçu une tablette,  à un prix très avantageux, jusque là, après avoir lu les autres avis, nous avons été chanceux. Après quelques utilisations, elle refuse de s'allumer. Nous avons encore eu la chance de réussir à contacter le SAV à l'étranger, bien entendu. Mais le courriel qui devait nous permettre de renvoyer la tablette ne nous est jamais parvenu. Depuis impossible de joindre le SAV, comme les autres, nous  patientons 5 minutes puis on nous annonce que personne ne peut nous répondre. Les courriels ne sont pas plus efficaces : réponse automatique sans suite...",102.0,True,True,False,False,False,True,False,True,True,False,False,False,False,True,False,True,False,1,1,0,1
1,826.0,1.0,All,impossible de se connecter er de créer…,impossible de se connecter er de créer un compte,Unable to login and create an account,2021-04-18T12:53:31.000Z,,,impossible de se connecter er de créer un compte,impossible de se connecter er de créer… impossible de se connecter er de créer un compte,16.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0,1
2,454.0,1.0,All,Mépris et arnaque,Mépris total pour le client et arnaque en masse. J’achète une cafetière expresso et le jour de la livraison on m’annonce que cette dernière n’est pas disponible. On m’invite à repasser commande mais 100€ plus cher…le service client ne répond même pas aux demandes.,,2021-12-08T16:58:00.000Z,,,Mépris total pour le client et arnaque en masse. J’achète une cafetière expresso et le jour de la livraison on m’annonce que cette dernière n’est pas disponible. On m’invite à repasser commande mais 100€ plus cher…le service client ne répond même pas aux demandes.,Mépris et arnaque Mépris total pour le client et arnaque en masse. J’achète une cafetière expresso et le jour de la livraison on m’annonce que cette dernière n’est pas disponible. On m’invite à repasser commande mais 100€ plus cher…le service client ne répond même pas aux demandes.,47.0,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,0,0,1,1
3,457.0,1.0,All,Carrefour traiteur à fuir,"Mon expérience concerne Carrefour traiteur: PLUS JAMAIS !
Tout d'abord il est écrit 'retrait en drive' mais au drive, personne n'est au courant... à l'accueil non plus... Et quand mon mari trouve enfin la bonne personne, il n'y a pas les verrines! J'avais commandé une soixantaine de verrines et des canapés, nous n'avons eu que les canapés...
Bien sûr, tout était déjà payé mais ils n'en étaient même pas sûrs... Ouf, on a fini par être remboursés!
1h avant, j'avais le mail ""n'oubliez pas votre commande""!
Le lendemain, j'avais le mail ""qu'en avez-vous pensé ?"" mais quand je clique dessus pour leur exprimer ma façon de penser, je retombe juste sur le site pour commander...
TOUT est donc à revoir pour eux et à fuir pour la clientèle !",,2021-12-08T12:31:55.000Z,,,"Mon expérience concerne Carrefour traiteur: PLUS JAMAIS !Tout d'abord il est écrit 'retrait en drive' mais au drive, personne n'est au courant... à l'accueil non plus... Et quand mon mari trouve enfin la bonne personne, il n'y a pas les verrines! J'avais commandé une soixantaine de verrines et des canapés, nous n'avons eu que les canapés...Bien sûr, tout était déjà payé mais ils n'en étaient même pas sûrs... Ouf, on a fini par être remboursés!1h avant, j'avais le mail ""n'oubliez pas votre commande""!Le lendemain, j'avais le mail ""qu'en avez-vous pensé ?"" mais quand je clique dessus pour leur exprimer ma façon de penser, je retombe juste sur le site pour commander...TOUT est donc à revoir pour eux et à fuir pour la clientèle !","Carrefour traiteur à fuir Mon expérience concerne Carrefour traiteur: PLUS JAMAIS !Tout d'abord il est écrit 'retrait en drive' mais au drive, personne n'est au courant... à l'accueil non plus... Et quand mon mari trouve enfin la bonne personne, il n'y a pas les verrines! J'avais commandé une soixantaine de verrines et des canapés, nous n'avons eu que les canapés...Bien sûr, tout était déjà payé mais ils n'en étaient même pas sûrs... Ouf, on a fini par être remboursés!1h avant, j'avais le mail ""n'oubliez pas votre commande""!Le lendemain, j'avais le mail ""qu'en avez-vous pensé ?"" mais quand je clique dessus pour leur exprimer ma façon de penser, je retombe juste sur le site pour commander...TOUT est donc à revoir pour eux et à fuir pour la clientèle !",128.0,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False,0,0,1,1
4,682.0,1.0,All,Zéro pointé,Zero pointé car opération  mal conçue.  Carrefour et Tefal ne respectent pas leurs promesses ! Il est même impossible de se connecter au site Tefal donné  par Carrefour pour se procurer le produit souhaité.  Cela mérite un dédommagement !,,2021-05-02T12:04:10.000Z,,,Zero pointé car opération  mal conçue.  Carrefour et Tefal ne respectent pas leurs promesses ! Il est même impossible de se connecter au site Tefal donné  par Carrefour pour se procurer le produit souhaité.  Cela mérite un dédommagement !,Zéro pointé Zero pointé car opération  mal conçue.  Carrefour et Tefal ne respectent pas leurs promesses ! Il est même impossible de se connecter au site Tefal donné  par Carrefour pour se procurer le produit souhaité.  Cela mérite un dédommagement !,41.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0
5,1312.0,1.0,All,Service de livraison et ou de Drive…,"Service de livraison et ou de Drive pratique mais qui devient laborieux.Trop de produits manquants facturés aussi bien en livraison à domicile qu'avec le Drive. On court après les sollicitations de remboursements successifs car les demandes ne sont pas traitées. Et quand elles le sont, les virements ne sont pas effectués ou bien ne correspondent pas au montant payé. La cerise sur le gâteau: un Drive non remis car indisponible le jour J débité quand même. Alors que j'ai pris la peine de prévenir le service client de cette déconvenue où l'on m'a assurée du non débit de ma carte bancaire me voilà encore contrainte de faire une demande de remboursement. Dorénavant par gain de temps j'irai faire mes courses moi même.  Le service est pitoyable (indépendamment du contexte actuel) et les démarches chronophages. Un paradoxe compte tenu de toutes les enquêtes de satisfaction reçues!!! Dommage",,2020-05-20T23:42:15.000Z,,,"Service de livraison et ou de Drive pratique mais qui devient laborieux.Trop de produits manquants facturés aussi bien en livraison à domicile qu'avec le Drive. On court après les sollicitations de remboursements successifs car les demandes ne sont pas traitées. Et quand elles le sont, les virements ne sont pas effectués ou bien ne correspondent pas au montant payé. La cerise sur le gâteau: un Drive non remis car indisponible le jour J débité quand même. Alors que j'ai pris la peine de prévenir le service client de cette déconvenue où l'on m'a assurée du non débit de ma carte bancaire me voilà encore contrainte de faire une demande de remboursement. Dorénavant par gain de temps j'irai faire mes courses moi même.  Le service est pitoyable (indépendamment du contexte actuel) et les démarches chronophages. Un paradoxe compte tenu de toutes les enquêtes de satisfaction reçues!!! Dommage","Service de livraison et ou de Drive… Service de livraison et ou de Drive pratique mais qui devient laborieux.Trop de produits manquants facturés aussi bien en livraison à domicile qu'avec le Drive. On court après les sollicitations de remboursements successifs car les demandes ne sont pas traitées. Et quand elles le sont, les virements ne sont pas effectués ou bien ne correspondent pas au montant payé. La cerise sur le gâteau: un Drive non remis car indisponible le jour J débité quand même. Alors que j'ai pris la peine de prévenir le service client de cette déconvenue où l'on m'a assurée du non débit de ma carte bancaire me voilà encore contrainte de faire une demande de remboursement. Dorénavant par gain de temps j'irai faire mes courses moi même.  Le service est pitoyable (indépendamment du contexte actuel) et les démarches chronophages. Un paradoxe compte tenu de toutes les enquêtes de satisfaction reçues!!! Dommage",153.0,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,0,0,1,1
6,453.0,1.0,All,Nous avons acheté en 2016 une piscine…,"Nous avons acheté en 2016 une piscine en bois à 1299euros modèle vanille à Carrefour Narbonne. Nous avons mon épouse et moi même constaté au bout de la cinquième années que la structure de notre piscine en bois et dans un état catastrophique !!. Nous avons donc contacté part mail avec photos et par téléphone Carrefour Narbonne pour informer de cette situation désagréable et nous avons donc demandé un remboursement de notre piscine garantie 10ans. Mais grosse surprise Carrefour Narbonne nous informe que la garantie de 10ans de notre piscine ne garantie pas les défauts importants du bois ni les fissures !? Mais juste contre le pourrissement et les insectes ???..pour info ns avons du pourrissement aussi!!????.,..Nous sommes donc choqué de la réponse car la structure en bois de la piscine peut casser à tout moment sur nos enfants et donc causer des blessures graves!! Cela est inacceptable pour nous client à Carrefour Narbonne depuis des années!!!!! Conclusion il faut fuir Carrefour Narbonne!!!",,2021-12-10T09:54:56.000Z,,,"Nous avons acheté en 2016 une piscine en bois à 1299euros modèle vanille à Carrefour Narbonne. Nous avons mon épouse et moi même constaté au bout de la cinquième années que la structure de notre piscine en bois et dans un état catastrophique !!. Nous avons donc contacté part mail avec photos et par téléphone Carrefour Narbonne pour informer de cette situation désagréable et nous avons donc demandé un remboursement de notre piscine garantie 10ans. Mais grosse surprise Carrefour Narbonne nous informe que la garantie de 10ans de notre piscine ne garantie pas les défauts importants du bois ni les fissures !? Mais juste contre le pourrissement et les insectes ???..pour info ns avons du pourrissement aussi!!????.,..Nous sommes donc choqué de la réponse car la structure en bois de la piscine peut casser à tout moment sur nos enfants et donc causer des blessures graves!! Cela est inacceptable pour nous client à Carrefour Narbonne depuis des années!!!!! Conclusion il faut fuir Carrefour Narbonne!!!","Nous avons acheté en 2016 une piscine… Nous avons acheté en 2016 une piscine en bois à 1299euros modèle vanille à Carrefour Narbonne. Nous avons mon épouse et moi même constaté au bout de la cinquième années que la structure de notre piscine en bois et dans un état catastrophique !!. Nous avons donc contacté part mail avec photos et par téléphone Carrefour Narbonne pour informer de cette situation désagréable et nous avons donc demandé un remboursement de notre piscine garantie 10ans. Mais grosse surprise Carrefour Narbonne nous informe que la garantie de 10ans de notre piscine ne garantie pas les défauts importants du bois ni les fissures !? Mais juste contre le pourrissement et les insectes ???..pour info ns avons du pourrissement aussi!!????.,..Nous sommes donc choqué de la réponse car la structure en bois de la piscine peut casser à tout moment sur nos enfants et donc causer des blessures graves!! Cela est inacceptable pour nous client à Carrefour Narbonne depuis des années!!!!! Conclusion il faut fuir Carrefour Narbonne!!!",170.0,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,True,False,0,1,0,1
7,303.0,1.0,All,J’ai fait une commande avec livraison…,J’ai fait une commande avec livraison attention quand vous passer une commande une arnaque à la promotion vérifiez bien C’est la dernière fois que je passerai commande chez Carrefour,,2022-05-11T15:20:51.000Z,"Bonjour, afin d'expertiser cette situation, nous aurions besoin de plus de précisions. Pourriez-vous nous rejoindre sur nos réseaux sociaux ou ici https://www.carrefour.fr/services/nous-contacter/formulaire afin de vous apporter une réponse circonstanciée. Merci par avance. L'équipe Carrefour",2022-05-11T18:07:19.559Z,J’ai fait une commande avec livraison attention quand vous passer une commande une arnaque à la promotion vérifiez bien C’est la dernière fois que je passerai commande chez Carrefour,J’ai fait une commande avec livraison… J’ai fait une commande avec livraison attention quand vous passer une commande une arnaque à la promotion vérifiez bien C’est la dernière fois que je passerai commande chez Carrefour,35.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0
8,328.0,1.0,All,Couteaux sabatiers,J' ai les vignettes papier et digitale.on m a dit qu il y aurais un arrivage de couteau sabatiers le 3mai ce qui n est toujours pas arrivé et qu ils ouvriraient un site de réservation pour les couteaux.c est quoi le site car personne le trouve et même dans mon magasin ils ne savent pas.,,2022-05-04T14:48:55.000Z,"Bonjour, vous pourrez les commander sur le site internet suivant, à partir du 09/05 https://www.carrefour.fr/edito/grandes-marques/lion-sabatier/reservation :)",2022-05-04T15:59:42.711Z,J' ai les vignettes papier et digitale.on m a dit qu il y aurais un arrivage de couteau sabatiers le 3mai ce qui n est toujours pas arrivé et qu ils ouvriraient un site de réservation pour les couteaux.c est quoi le site car personne le trouve et même dans mon magasin ils ne savent pas.,Couteaux sabatiers J' ai les vignettes papier et digitale.on m a dit qu il y aurais un arrivage de couteau sabatiers le 3mai ce qui n est toujours pas arrivé et qu ils ouvriraient un site de réservation pour les couteaux.c est quoi le site car personne le trouve et même dans mon magasin ils ne savent pas.,58.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0
9,944.0,1.0,All,"Bonjour,j'ai acheté 2trottinettes…","Bonjour,j'ai acheté 2trottinettes électronique,pour Noël il y en une qui fonctionne pas, j'appelle le sav de Carrefour grand car ou l'on me dit de me présenter à l'accueil avec la trottinette,je prends donc la route 40mn de chez moi !!!! arrivée on me dit qu'on peut pas prendre la trottinette qu'il aurait fallu que j'appelle un numéro pour faire une déclaration et enregistrer ma demande,je dis que c'est compliqué pour de répartir avec et de revenir juste pour un appel (il me semble qu'ils pourraient faire l'appel eux même) finalement on me propose de garder la trottinette et de leurs faire parvenir le numéro de dossier.Je composé donc ce numéro après 50mn d'attente ma demande est enregistrée,je rappelle le sav pour leurs communiquer le numéro de dossier.Oufff j'ai l'impression que tout est ok,on me rappelle ce matin et l'on me dit la demande est prise en compte durée minimum un mois pour la réparation !!! Intervention sur la batterie,je dis moi j'avais l'impression que c'est la poignée et là on le dit dsl c'est pas noté le réparateur ne regardera pas l'as poignée Que dire on marche sur la tête,plus compliqué pour un sav je sais si c'est possible . Mme Allisio",,2021-01-29T09:21:30.000Z,,,"Bonjour,j'ai acheté 2trottinettes électronique,pour Noël il y en une qui fonctionne pas, j'appelle le sav de Carrefour grand car ou l'on me dit de me présenter à l'accueil avec la trottinette,je prends donc la route 40mn de chez moi !!!! arrivée on me dit qu'on peut pas prendre la trottinette qu'il aurait fallu que j'appelle un numéro pour faire une déclaration et enregistrer ma demande,je dis que c'est compliqué pour de répartir avec et de revenir juste pour un appel (il me semble qu'ils pourraient faire l'appel eux même) finalement on me propose de garder la trottinette et de leurs faire parvenir le numéro de dossier.Je composé donc ce numéro après 50mn d'attente ma demande est enregistrée,je rappelle le sav pour leurs communiquer le numéro de dossier.Oufff j'ai l'impression que tout est ok,on me rappelle ce matin et l'on me dit la demande est prise en compte durée minimum un mois pour la réparation !!! Intervention sur la batterie,je dis moi j'avais l'impression que c'est la poignée et là on le dit dsl c'est pas noté le réparateur ne regardera pas l'as poignée Que dire on marche sur la tête,plus compliqué pour un sav je sais si c'est possible . Mme Allisio","Bonjour,j'ai acheté 2trottinettes… Bonjour,j'ai acheté 2trottinettes électronique,pour Noël il y en une qui fonctionne pas, j'appelle le sav de Carrefour grand car ou l'on me dit de me présenter à l'accueil avec la trottinette,je prends donc la route 40mn de chez moi !!!! arrivée on me dit qu'on peut pas prendre la trottinette qu'il aurait fallu que j'appelle un numéro pour faire une déclaration et enregistrer ma demande,je dis que c'est compliqué pour de répartir avec et de revenir juste pour un appel (il me semble qu'ils pourraient faire l'appel eux même) finalement on me propose de garder la trottinette et de leurs faire parvenir le numéro de dossier.Je composé donc ce numéro après 50mn d'attente ma demande est enregistrée,je rappelle le sav pour leurs communiquer le numéro de dossier.Oufff j'ai l'impression que tout est ok,on me rappelle ce matin et l'on me dit la demande est prise en compte durée minimum un mois pour la réparation !!! Intervention sur la batterie,je dis moi j'avais l'impression que c'est la poignée et là on le dit dsl c'est pas noté le réparateur ne regardera pas l'as poignée Que dire on marche sur la tête,plus compliqué pour un sav je sais si c'est possible . Mme Allisio",205.0,False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,0,1,0,1
